trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,training.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02022308309096843,0.02104704105295241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,,,,,,,,,0.0210752080893144,0.03449987503699958,2.2245209160028026,space,2.1555710419779643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
0,0,0,0,,,,,2.264328583027236,,,,,,,,,,2.2259128330042586,pre_test,stimuli/right90_test_sound,2.264328583027236,2.7287458746616418,2.7626418330473825,3.2219049161067232,3.2219049161067232,7.131090375012718,b,1,3.903920750017278,None,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
1,0,1,0,,,,,7.14382833300624,,,,,,,,,,7.132203000015579,pre_test,stimuli/Left90_test_sound,7.14382833300624,7.634297916727761,7.633863708004355,8.128998625092208,8.128998625092208,12.580882458016276,z,1,4.44681329105515,None,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
2,0,2,0,,,,,12.590799541096203,,,,,,,,,,12.581436875043437,pre_test,stimuli/Left90_test_sound,12.590799541096203,13.08580587472922,13.08571287500672,13.5713625830831,13.5713625830831,14.088850208092481,z,1,0.508595791994594,None,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
3,0,3,0,,,,,14.112153416033834,,,,,,,,,,14.089431833010167,pre_test,stimuli/Left30_test_sound,14.112153416033834,14.594861541703965,14.603703666012734,15.079752000048757,15.079752000048757,16.938376833102666,c,0,1.8512062079971656,None,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
4,0,4,0,,,,,16.948351375060156,,,,,,,,,,16.93895545799751,pre_test,stimuli/Left90_test_sound,16.948351375060156,17.44573541667002,17.445753583102487,17.931260833051056,17.931260833051056,19.454141750000417,x,0,1.5156437910627574,None,,,,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.454617125098594,19.478924375027418,21.46294708305504,,,,,,,,,,,,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,0,0,0,0,21.47082216606941,,,,,,,,,,,post_test,stimuli/Left30_test_sound,,,,,,,,,,,,,,21.46357383299619,21.47082216606941,21.95473099971811,21.969549375004135,22.453238916001283,22.453238916001283,22.854827833012678,z,0,0.3962810840457678,None,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,1,0,1,0,22.866624957998283,,,,,,,,,,,post_test,stimuli/right90_test_sound,,,,,,,,,,,,,,22.855596083099954,22.866624957998283,23.3625611666978,23.362634916091338,23.847382666077465,23.847382666077465,24.204963333089836,x,0,0.3544872079510242,None,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,2,0,2,0,24.216268833028153,,,,,,,,,,,post_test,stimuli/right30_test_sound,,,,,,,,,,,,,,24.205467750085518,24.216268833028153,24.704348166768128,24.71304287505336,25.20532779104542,25.20532779104542,26.720599958091043,z,0,1.5099494580645114,None,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,3,0,3,0,26.745729041052982,,,,,,,,,,,post_test,stimuli/right30_test_sound,,,,,,,,,,,,,,26.72149787505623,26.745729041052982,27.22087608272365,27.236828083056025,27.719792957999744,27.719792957999744,27.97270358307287,x,0,0.25075629202183336,None,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
,,,,4,0,4,0,27.98303683300037,,,,,,,,,,,post_test,stimuli/right90_test_sound,,,,,,,,,,,,,,27.97322437504772,27.98303683300037,28.479517207775885,28.479441708070226,28.9643358750036,28.9643358750036,29.20797383307945,x,0,0.232428792049177,None,206594,001,2024-11-08_10h29.04.988,experiment,2024.1.5,None,2024-11-08 10h29.12.641923 +0530,
