trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,training_block.started,fixation_2.started,sound_3.started,fixation_2.stopped,image_3.started,training_response.started,training_block.stopped,training_response.keys,training_response.corr,training_response.rt,training_response.duration,feedback.started,text_2.started,feedback.stopped,text_2.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,test.stopped,posttest_response.keys,posttest_response.corr,posttest_response.rt,posttest_response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.01601987495087087,0.016726040979847312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,,,,,,,,,,,,,0.016775332973338664,0.03111554100178182,3.4027361249318346,space,3.3457864159718156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
0,0,0,0,,,,,,,,,3.425171707989648,,,,,,,,,,3.403731875005178,pre_test,stimuli/Left30_test_sound,3.425171707989648,3.9066456666371474,3.922803165973164,4.399754083016887,4.399754083016887,5.304305791039951,z,0,0.8951904999557883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.304910333012231,5.312017707969062,7.310228707967326,7.3031637909589335,,,,,,,,,,,,,,,,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,0,0,0,0,,,,,7.310228707967326,,,,,,,,,,,training,stimuli/right90_white_noise.wav,,,,,,,,,,,,,,,7.303844957961701,7.310228707967326,7.807267082684363,7.807004833011888,8.300335915992036,8.300335915992036,10.954557999968529,x,0,2.6435596250230446,None,10.955095625016838,10.97102850000374,11.959684957982972,,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,1,0,1,0,,,,,11.966737582930364,,,,,,,,,,,training,stimuli/Left90_white_noise.wav,,,,,,,,,,,,,,,11.959918832988478,11.966737582930364,12.457287416622664,12.456549082999118,12.950326125021093,12.950326125021093,17.00462487502955,v,0,4.043803957989439,None,17.005035875015892,17.015623749932274,18.003411790938117,18.008553582942113,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,2,0,2,0,,,,,18.008553582942113,,,,,,,,,,,training,stimuli/Left90_white_noise.wav,,,,,,,,,,,,,,,18.003701457986608,18.008553582942113,18.507374624667378,18.506795165943913,19.000685832928866,19.000685832928866,19.454416041029617,c,0,0.4432459579547867,None,19.45481258293148,19.461201124941,20.453565625008196,20.458700750023127,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,3,0,3,0,,,,,20.458700750023127,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,20.4538317079423,20.458700750023127,20.956997749690586,20.95663108304143,21.450765790999867,21.450765790999867,21.77813500002958,v,1,0.3219432079931721,None,21.778496040962636,21.789678875007667,22.77780212496873,22.783732749987394,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,4,0,4,0,,,,,22.783732749987394,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,22.77804391598329,22.783732749987394,23.28374179167828,23.27341995795723,23.774018040974624,23.774018040974624,24.561516957939602,z,0,0.7803192919818684,None,24.561863165930845,24.571930165984668,25.560468666022643,25.56842704094015,,,,,,,,,,,,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
,,,,,,,,0,0,0,0,25.56842704094015,,,,,,,,,,,post_test,stimuli/Left90_test_sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.561122665996663,25.56842704094015,26.067309916663604,26.06737120798789,26.557857583044097,26.557857583044097,27.628219082951546,v,0,1.0655490420758724,None,kk,001,2024-11-08_18h32.28.088,experiment,2024.1.5,None,2024-11-08 18h33.07.776850 +0530,
