trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,training_block.started,fixation_2.started,fixation_2.stopped,sound_3.started,image_3.started,training_response.started,training_block.stopped,training_response.keys,training_response.corr,training_response.rt,training_response.duration,feedback.started,text_2.started,image_4.started,feedback.stopped,test.started,fixation_posttest.started,sound_2.started,fixation_posttest.stopped,image_2.started,posttest_response.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.0139694589888677,0.014669041964225471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,,,,,,,,,,,,,0.01469450001604855,0.028418916976079345,2.042177041992545,space,1.9873112080385908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
0,0,0,0,,,,,,,,,2.0689059169963,,,,,,,,,,2.0433172089979053,pre_test,stimuli/Left30_test_sound,2.0689059169963,2.5462758336837092,2.562181208981201,3.0360582090215757,3.0360582090215757,4.355097291991115,z,0,1.3102484160335734,None,,,,,,,,,,,,,,,,,,,,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.355938374996185,4.365659041912295,6.3631723339203745,6.354700374999084,,,,,,,,,,,,,,,,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,0,0,0,0,,,,,6.3631723339203745,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,6.355553874978796,6.3631723339203745,6.850439041969366,6.862729958669903,7.3463472499279305,7.3463472499279305,8.336171624949202,z,0,0.984558540978469,None,8.336757499957457,8.380895041977055,8.380895041977055,10.836890541948378,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,1,0,1,0,,,,,10.845965791959316,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,10.837287749978714,10.845965791959316,11.33444133400917,11.336753333631593,11.828585500014015,11.828585500014015,12.731693750014529,x,1,0.8967568749794737,None,12.732097333995625,12.771270916913636,12.771270916913636,15.238544208928943,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,2,0,2,0,,,,,15.246643416932784,,,,,,,,,,,training,stimuli/Left90_white_noise.wav,,,,,,,,,,,,,,,15.238871334004216,15.246643416932784,15.734474041964859,15.73737166665184,16.230354583938606,16.230354583938606,17.163735874928534,c,0,0.9290411670226604,None,17.1641403749818,17.20371954201255,17.20371954201255,19.66859904199373,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,3,0,3,0,,,,,19.67964737501461,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,19.66891999996733,19.67964737501461,20.16693241696339,20.16333066666654,20.66359637491405,20.66359637491405,21.93057820899412,v,1,1.260871332953684,None,21.930936458986253,21.96653887501452,21.96653887501452,24.437541667022742,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,4,0,4,0,,,,,24.446292166947387,,,,,,,,,,,training,stimuli/right90_white_noise.wav,,,,,,,,,,,,,,,24.437861084006727,24.446292166947387,24.933509874972515,24.930506541688615,25.42955820891075,25.42955820891075,26.23884212493431,z,0,0.8064428339712322,None,26.239199708914384,26.277261458919384,26.277261458919384,28.745766249950975,,,,,,,mmmmm,001,2024-11-08_19h30.40.101,experiment,2024.1.5,None,2024-11-08 19h30.51.371942 +0530,
,,,,,,,,,,,,28.755149374948815,,,,,,,,,,,post_test,stimuli/right30_test_sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.74649358401075,28.755149374948815,29.24645712558801,29.251202041981742,29.730067541939206,29.730067541939206,,,,,,,,
